[2025-03-03 09:34:04,984] DEBUG: Using proactor: IocpProactor
[2025-03-03 09:34:16,393] INFO: Data inserted for Inverter ID: 1308675217948200937
[2025-03-03 09:34:16,475] INFO: Data inserted for Inverter ID: 1308675217948200963
[2025-03-03 09:34:16,554] INFO: Data inserted for Inverter ID: 1308675217948200933
[2025-03-03 09:34:16,631] INFO: Data inserted for Inverter ID: 1308675217948200931
[2025-03-03 09:34:16,708] INFO: Data inserted for Inverter ID: 1308675217948200921
[2025-03-03 09:34:16,800] INFO: Data inserted for Inverter ID: 1308675217948200910
[2025-03-03 09:34:16,882] INFO: Data inserted for Inverter ID: 1308675217948200962
[2025-03-03 09:34:16,953] INFO: Data inserted for Inverter ID: 1308675217948200961
[2025-03-03 09:34:17,036] INFO: Data inserted for Inverter ID: 1308675217948200912
[2025-03-03 09:34:17,104] INFO: Data inserted for Inverter ID: 1308675217948200947
[2025-03-03 09:34:17,191] INFO: Data inserted for Inverter ID: 1308675217948200875
[2025-03-03 09:34:17,261] INFO: Data inserted for Inverter ID: 1308675217948200893
[2025-03-03 09:34:17,346] INFO: Data inserted for Inverter ID: 1308675217948200900
[2025-03-03 09:34:17,421] INFO: Data inserted for Inverter ID: 1308675217948200905
[2025-03-03 09:34:17,492] INFO: Data inserted for Inverter ID: 1308675217948200879
[2025-03-03 09:34:17,609] INFO: Data inserted for Inverter ID: 1308675217948200881
[2025-03-03 09:34:17,687] INFO: Data inserted for Inverter ID: 1308675217948200880
[2025-03-03 09:34:17,755] INFO: Data inserted for Inverter ID: 1308675217948200891
[2025-03-03 09:34:17,846] INFO: Data inserted for Inverter ID: 1308675217948200901
[2025-03-03 09:34:17,916] INFO: Data inserted for Inverter ID: 1308675217948200892
[2025-03-03 09:34:17,985] INFO: Data inserted for Inverter ID: 1308675217948200882
[2025-03-03 09:34:18,069] INFO: Data inserted for Inverter ID: 1308675217948200895
[2025-03-03 09:34:18,150] INFO: Data inserted for Inverter ID: 1308675217948200896
[2025-03-03 09:34:18,232] INFO: Data inserted for Inverter ID: 1308675217948200840
[2025-03-03 09:34:18,329] INFO: Data inserted for Inverter ID: 1308675217948200852
[2025-03-03 09:34:20,725] INFO: Data inserted for Inverter ID: 1308675217948200866
[2025-03-03 09:34:20,795] INFO: Data inserted for Inverter ID: 1308675217948200860
[2025-03-03 09:34:20,872] INFO: Data inserted for Inverter ID: 1308675217948200867
[2025-03-03 09:34:20,945] INFO: Data inserted for Inverter ID: 1308675217948200865
[2025-03-03 09:34:21,026] INFO: Data inserted for Inverter ID: 1308675217948200868
[2025-03-03 09:34:21,149] INFO: Data inserted for Inverter ID: 1308675217948200853
[2025-03-03 09:34:21,231] INFO: Data inserted for Inverter ID: 1308675217948200864
[2025-03-03 09:34:21,328] INFO: Data inserted for Inverter ID: 1308675217948200841
[2025-03-03 09:34:21,409] INFO: Data inserted for Inverter ID: 1308675217948193433
[2025-03-03 09:34:21,485] INFO: Data inserted for Inverter ID: 1308675217948172796
[2025-03-03 09:34:21,581] INFO: Data inserted for Inverter ID: 1308675217948156814
[2025-03-03 09:34:21,670] INFO: Data inserted for Inverter ID: 1308675217948156813
[2025-03-03 09:34:21,756] INFO: Data inserted for Inverter ID: 1308675217948156811
[2025-03-03 09:34:21,870] INFO: Data inserted for Inverter ID: 1308675217948156803
[2025-03-03 09:34:21,951] INFO: Data inserted for Inverter ID: 1308675217948156805
[2025-03-03 09:34:22,054] INFO: Data inserted for Inverter ID: 1308675217948156802
[2025-03-03 09:34:22,142] INFO: Data inserted for Inverter ID: 1308675217948156809
[2025-03-03 09:34:22,246] INFO: Data inserted for Inverter ID: 1308675217948156714
[2025-03-03 09:34:22,324] INFO: Data inserted for Inverter ID: 1308675217948156713
[2025-03-03 09:34:22,434] INFO: Data inserted for Inverter ID: 1308675217948156727
[2025-03-03 09:34:22,508] INFO: Data inserted for Inverter ID: 1308675217948156731
[2025-03-03 09:34:22,665] INFO: Data inserted for Inverter ID: 1308675217948156715
[2025-03-03 09:34:22,765] INFO: Data inserted for Inverter ID: 1308675217948156761
[2025-03-03 09:34:22,849] INFO: Data inserted for Inverter ID: 1308675217948156717
[2025-03-03 09:34:22,930] INFO: Data inserted for Inverter ID: 1308675217948156716
[2025-03-03 09:34:23,007] INFO: Data inserted for Inverter ID: 1308675217948156728
[2025-03-03 09:34:23,090] INFO: Data inserted for Inverter ID: 1308675217948156759
[2025-03-03 09:34:23,168] INFO: Data inserted for Inverter ID: 1308675217948156760
[2025-03-03 09:34:23,335] INFO: Data inserted for Inverter ID: 1308675217948156712
[2025-03-03 09:34:23,479] INFO: Data inserted for Inverter ID: 1308675217948156729
[2025-03-03 09:34:23,571] INFO: Data inserted for Inverter ID: 1308675217948156730
[2025-03-03 09:34:23,652] INFO: Data inserted for Inverter ID: 1308675217948156654
[2025-03-03 09:34:23,744] INFO: Data inserted for Inverter ID: 1308675217948156676
[2025-03-03 09:34:23,826] INFO: Data inserted for Inverter ID: 1308675217948156634
[2025-03-03 09:34:23,899] INFO: Data inserted for Inverter ID: 1308675217948156675
[2025-03-03 09:34:24,014] INFO: Data inserted for Inverter ID: 1308675217948156591
[2025-03-03 09:34:24,122] INFO: Data inserted for Inverter ID: 1308675217948156593
[2025-03-03 09:34:24,200] INFO: Data inserted for Inverter ID: 1308675217948156633
[2025-03-03 09:34:24,291] INFO: Data inserted for Inverter ID: 1308675217948156594
[2025-03-03 09:34:24,370] INFO: Data inserted for Inverter ID: 1308675217948156590
[2025-03-03 09:34:24,453] INFO: Data inserted for Inverter ID: 1308675217948156589
[2025-03-03 09:34:24,534] INFO: Data inserted for Inverter ID: 1308675217948156596
[2025-03-03 09:34:24,693] INFO: Data inserted for Inverter ID: 1308675217948156587
[2025-03-03 09:34:24,828] INFO: Data inserted for Inverter ID: 1308675217948156632
[2025-03-03 09:34:24,921] INFO: Data inserted for Inverter ID: 1308675217948156630
[2025-03-03 09:34:25,010] INFO: Data inserted for Inverter ID: 1308675217948156595
[2025-03-03 09:34:25,100] INFO: Data inserted for Inverter ID: 1308675217948156614
[2025-03-03 09:34:25,178] INFO: Data inserted for Inverter ID: 1308675217948156631
[2025-03-03 09:34:25,262] INFO: Data inserted for Inverter ID: 1308675217948156553
[2025-03-03 09:34:25,340] INFO: Data inserted for Inverter ID: 1308675217948156549
[2025-03-03 09:34:25,441] INFO: Data inserted for Inverter ID: 1308675217948156550
[2025-03-03 09:34:25,517] INFO: Data inserted for Inverter ID: 1308675217948156551
[2025-03-03 09:34:25,594] INFO: Data inserted for Inverter ID: 1308675217948089926
[2025-03-03 09:34:25,673] INFO: Data inserted for Inverter ID: 1308675217948089930
[2025-03-03 09:34:25,750] INFO: Data inserted for Inverter ID: 1308675217948089925
[2025-03-03 09:34:25,824] INFO: Data inserted for Inverter ID: 1308675217948089928
[2025-03-03 09:34:25,899] INFO: Data inserted for Inverter ID: 1308675217948089927
[2025-03-03 09:34:25,990] INFO: Data inserted for Inverter ID: 1308675217948089889
